EIIN,INSTITUTE NAME
104210,BAKOLIA ADARSHA GIRLS HIGH SCHOOL
104212,EAST BAKOLIA CITY CORP. GIRLS HIGH SCHOOL
104213,CHANDGAON N. M. C. ADARSHA HIGH SCHOOL
104215,MIRZA AHMAD ISPAHANI SMRITI BIDYALAYA
104216,NURUL ISLAM MUNICIPAL SECONDARY GIRLS SCHOOL
104217,MOHORA S. K. Q. GIRLS HIGH SCHOOL
104218,CHAR CHAKTAI CITY CORP. HIGH SCHOOL
104219,Chittagong Jute Manufacturing High School
104220,ALHAJ ANWARA BEGUM HIGH SCHOOL
104221,SANOWARA SECONDARY SCHOOL
104222,ABDUL HAMID SOWDAGAR HIGH SCHOOL
104223,HASNE HENA GIRLS HIGH SCHOOL
104225,MUHAMMAD KAMAL UDDIN HIGH SCHOOL
104226,SANOWARA ISLAM BOYS HIGH SCHOOL
104239,POTENGA HIGH SCHOOL
104241,HALISHAHOR BEGUMJAN HIGH SCHOOL
104242,HALISHAHOR AHMED MIAH CITY CORP. GIRLS HIGH SCHOOL
104243,EASTERN REFINERY HIGH SCHOOL
104244,HALISHAHOR MEHER AFJAL HIGH SCHOOL
104245,T. S. P. COMPLEX SECONDARY SCHOOL
104246,PORT AUTHORITY GIRLS HIGH SCHOOL
104247,PORT AUTHORITY HIGH SCHOOL
104248,CHITTAGONG AIRPORT HIGH SCHOOL
104249,STEEL MILLS HIGH SCHOOL
104250,HALISHAHAR MUNSHIPARA HIGH SCHOOL
104251,SOUTH HALISHAHOR HIGH SCHOOL
104252,NIMTALA HIGH SCHOOL
104253,SOUTH PATENGA CITY CORPORATION HIGH SCHOOL
104254,MAIZPARA MAHMUDUNNABI CHY HIGH SCHOOL
104263,BEPZA PUBLIC SCHOOL & COLLEGE
104264,NOU-BAHINI HIGH SCHOOL AND COLLEGE
104265,B. A. F. SHAHEEN SCHOOL/COLLEGE
104267,POTENGA CITY CORP. GIRLS HIGH SCHOOL
104268,PATHANTULI KHAN SHAHEB ABDUL HAKIM HIGH SCHOOL
104269,KALOKAKOLI HIGH SCHOOL
104270,PATHANTULY KHAN SHAHEB CITY CORP. GIRLS HIGH SCHOOL
104271,PATHANTULY CITY CORP. BOYS HIGH SCHOOL
